chemical,protein,label
312,ENSP00000356425,1
5593,ENSP00000319730,0
753,ENSP00000261890,1
681,ENSP00000281806,1
123885,ENSP00000347689,0
4528,ENSP00000370938,0
23994,ENSP00000305714,1
191,ENSP00000281806,1
2512,ENSP00000341390,0
681,ENSP00000265572,1
2801,ENSP00000226730,0
6018,ENSP00000396452,0
187,ENSP00000420914,0
456201,ENSP00000385746,0
191,ENSP00000325425,1
5408,ENSP00000344460,0
5288826,ENSP00000256958,0
104787,ENSP00000337103,0
4584,ENSP00000280362,0
4636,ENSP00000276198,1
2375,ENSP00000307766,0
3241,ENSP00000258418,0
2812,ENSP00000227378,0
119828,ENSP00000370989,0
5361092,ENSP00000394624,1
3648,ENSP00000368104,0
439260,ENSP00000329684,1
5405,ENSP00000409378,1
3603,ENSP00000372750,1
3372,ENSP00000219070,0
753,ENSP00000181383,1
4044,ENSP00000369927,1
5280961,ENSP00000000442,1
3450,ENSP00000257290,0
253,ENSP00000321845,0
43815,ENSP00000392859,0
4885,ENSP00000354859,1
28417,ENSP00000217270,0
444795,ENSP00000232217,1
2311,ENSP00000351957,0
2145,ENSP00000338072,0
5478,ENSP00000231420,0
2818,ENSP00000358963,1
3715,ENSP00000369927,1
1979,ENSP00000224356,0
9576912,ENSP00000308032,0
2662,ENSP00000353820,1
131432,ENSP00000303522,0
3165,ENSP00000353224,0
3158,ENSP00000266517,0
750,ENSP00000371236,1
2512,ENSP00000367959,1
9904,ENSP00000256958,0
2714,ENSP00000361423,0
1993,ENSP00000350911,0
941361,ENSP00000353904,0
681,ENSP00000367959,1
4078,ENSP00000306490,1
5022,ENSP00000265734,0
2132,ENSP00000289575,0
3911,ENSP00000300605,0
4020,ENSP00000307822,0
2581,ENSP00000358596,0
1240,ENSP00000375892,0
5523,ENSP00000261707,1
122220,ENSP00000265572,1
951,ENSP00000277942,1
5496659,ENSP00000219789,0
16004692,ENSP00000358727,0
71616,ENSP00000357066,0
699,ENSP00000344220,0
59693,ENSP00000356729,0
5186,ENSP00000307445,0
11804285,ENSP00000245312,0
108094,ENSP00000361965,0
54687,ENSP00000360991,0
3405,ENSP00000330237,0
108220,ENSP00000224356,0
122296,ENSP00000378295,0
8758,ENSP00000385834,1
4451,ENSP00000262407,0
5454,ENSP00000280155,1
4913,ENSP00000369927,0
7019,ENSP00000319814,0
2249,ENSP00000265164,0
5280363,ENSP00000303775,1
2913,ENSP00000367959,1
5530,ENSP00000368645,0
4528,ENSP00000249396,0
3290,ENSP00000298171,0
3386,ENSP00000292180,0
51683,ENSP00000261890,0
10836,ENSP00000359991,0
68570,ENSP00000226730,0
103535,ENSP00000320709,0
4106,ENSP00000367959,1
5726,ENSP00000295897,1
838,ENSP00000304501,1
4850,ENSP00000344456,0
107772,ENSP00000221742,0
6918365,ENSP00000370213,0
206042,ENSP00000260508,0
4920,ENSP00000370254,1
23994,ENSP00000310721,0
60809,ENSP00000367959,1
4595,ENSP00000377947,0
216239,ENSP00000377947,0
107992,ENSP00000265462,0
2249,ENSP00000310928,0
208908,ENSP00000264668,0
23994,ENSP00000362674,1
3249,ENSP00000251607,0
679,ENSP00000265462,1
1065,ENSP00000270570,1
4495,ENSP00000263753,0
3016,ENSP00000363046,0
657378,ENSP00000308549,1
26721,ENSP00000301141,0
123878,ENSP00000324124,0
4425,ENSP00000267814,0
11626560,ENSP00000216484,0
1206,ENSP00000261707,1
3675,ENSP00000339503,0
3158,ENSP00000220584,0
5281888,ENSP00000334592,0
4528,ENSP00000265174,0
4748,ENSP00000310701,0
97272,ENSP00000265729,0
3285,ENSP00000336528,1
60769,ENSP00000291565,0
3962,ENSP00000287936,1
5591,ENSP00000225275,0
4236,ENSP00000340523,0
51577,ENSP00000264613,0
122033,ENSP00000299518,0
65856,ENSP00000321334,0
10836,ENSP00000360290,0
44093,ENSP00000261208,0
122187,ENSP00000311291,0
5329102,ENSP00000353452,1
4100,ENSP00000365160,0
6018,ENSP00000378295,0
36920,ENSP00000164139,0
3823,ENSP00000266560,0
5454,ENSP00000316244,1
5352,ENSP00000306920,0
4184,ENSP00000302811,0
753,ENSP00000336868,1
5281605,ENSP00000377947,0
1117,ENSP00000377969,1
23994,ENSP00000353920,1
2724385,ENSP00000360777,0
2239,ENSP00000343782,1
23930,ENSP00000419628,1
15,ENSP00000397582,0
4913,ENSP00000226444,0
54586,ENSP00000296511,0
4106,ENSP00000289753,1
3396,ENSP00000305372,1
439260,ENSP00000289753,1
23994,ENSP00000337733,1
9933475,ENSP00000352584,0
34231,ENSP00000335261,0
2687,ENSP00000333568,0
26757,ENSP00000385571,0
2548,ENSP00000367309,0
155346,ENSP00000360317,0
2580,ENSP00000360939,0
107985,ENSP00000306920,0
158,ENSP00000272928,1
43815,ENSP00000335620,0
5770,ENSP00000373169,1
1205,ENSP00000366488,0
3042,ENSP00000315602,0
1548999,ENSP00000339435,0
2099,ENSP00000253122,0
753,ENSP00000332771,0
5149021,ENSP00000230671,0
60961,ENSP00000339479,1
2354,ENSP00000222330,0
5329098,ENSP00000282397,1
3001055,ENSP00000256594,0
71301,ENSP00000416293,0
6230,ENSP00000262948,0
2369,ENSP00000393312,0
2051,ENSP00000358525,0
108094,ENSP00000318868,0
5361092,ENSP00000339933,0
